Product Title,Price,Product Image URL,Product Link,Rating,Review
"OnePlus 15 5G 256 GB, 12 GB RAM, Infinite Black, Mobile Phone","₹77,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/one-plus/494742149/0/Q20i-eq9gm-qaI1A1EqK-OnePlusOneplus15-MP-494742149-i-1.jpg,https://www.reliancedigital.in/product/oneplus-15-5g-256-gb-12-gb-ram-infinite-black-mobile-phone-mhufke-9576536,N/A,N/A
"OnePlus 15 5G 256 GB, 12 GB RAM, Sand Storm, Mobile Phone","₹77,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/one-plus/494742150/0/0b9kq5Vpqz-KFY6qbXYK4-OnePlusOneplus15-MP-494742150-i-1.jpg,https://www.reliancedigital.in/product/oneplus-15-5g-256-gb-12-gb-ram-sand-storm-mobile-phone-mhufx9-9576563,N/A,N/A
"OnePlus 15 5G 512 GB, 16 GB RAM, Infinite Black, Mobile Phone","₹85,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/one-plus/494742151/0/Z0esG6YSXs-dluhEu72wp-OnePlusOneplus15-MP-494742151-i-1.jpg,https://www.reliancedigital.in/product/oneplus-15-5g-512-gb-16-gb-ram-infinite-black-mobile-phone-mhufx9-9576562,N/A,N/A
"Google Pixel 10 256 GB, 12 GB RAM, Frost, Mobile Phone","₹71,249.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494582873/0/PSW0RtcL6e-L8dI3gF2_n-GooglePixel10-494582873-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-256-gb-12-gb-ram-frost-mobile-phone-mejxf9-9345019,N/A,N/A
"Google Pixel 10 256 GB, 12 GB RAM, Indigo, Mobile Phone","₹71,249.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494582875/0/USn9kaiz8a-SsdJ8SXpln-GooglePixel10-494582875-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-256-gb-12-gb-ram-indigo-mobile-phone-mejxfd-9345020,N/A,N/A
"Google Pixel 10 256 GB, 12 GB RAM, Obsidian, Mobile Phone","₹71,249.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494582871/0/flcK4fL5Vj-f8Ogot-6Or-GooglePixel10-494582871-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-256-gb-12-gb-ram-obsidian-mobile-phone-mejw49-9345004,N/A,N/A
"Google Pixel 10 Pro XL 256 GB, 16 GB RAM, Moonstone, Mobile Phone","₹1,24,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494582879/0/zdgmR3zsSB-H2wN8L4N8p-GooglePixel10ProXL-494582879-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-pro-xl-256-gb-16-gb-ram-moonstone-mobile-phone-mejxf9-9345016,N/A,N/A
"Google Pixel 10 Pro Fold 256 GB, 16 GB RAM, Moonstone, Mobile Phone","₹1,72,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494583323/0/hKiThATBiK-zaRva_f5rL-GooglePixel10ProFold-MP-494583323-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-pro-fold-256-gb-16-gb-ram-moonstone-mobile-phone-mgeq8s-9519655,N/A,N/A
"Google Pixel 10 Pro XL 256 GB, 16 GB RAM, Obsidian, Mobile Phone","₹1,24,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/google/494582870/0/b0OW2g5oel-rcc3fU30H2-GooglePixel10ProXL-494582870-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/google-pixel-10-pro-xl-256-gb-16-gb-ram-obsidian-mobile-phone-mejw49-9345005,N/A,N/A
"OnePlus 15 5G 512 GB, 16 GB RAM, Sand Storm, Mobile Phone","₹85,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/one-plus/494742152/0/cMINUtx5Hk-InrePMOIXe-OnePlusOneplus15-MP-494742152-i-1.jpg,https://www.reliancedigital.in/product/oneplus-15-5g-512-gb-16-gb-ram-sand-storm-mobile-phone-mhuebb-9576512,N/A,N/A
"itel it2165s 4 MB RAM, Orange, Mobile Phone",₹980.00,https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/itel/494422829/0/QST7UMpR6S-OSGlSZCy8S-itel-it2165s-494422829-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/itel-it2165s-4-mb-ram-orange-mobile-phone-m2kbr9-8685408?internal_source=search_collection,N/A,N/A
"Micromax Canvas 1 Smart Phone 16 GB, 2 GB RAM, Chrome Black","₹5,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/micromax/491350900/0/50lX_AtjMy-K8mGG7RNP3-Micromax-Canvas-1-Smart-Phone-Chrome-Black-491350900-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/micromax-canvas-1-smart-phone-16-gb-2-gb-ram-chrome-black?internal_source=search_collection,N/A,N/A
"Realme Narzo N63 64 GB, 4 GB RAM, Leather Blue, Mobile Phone","₹8,499.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/realme/494422822/0/gwPAMaTawO-nB6UW8UuAG8-RealmeRealme-Narzo-N63-494422822-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/realme-narzo-n63-64-gb-4-gb-ram-twilight-purple-mobile-phone-m0qc7g-8557391?internal_source=search_collection,4,10
"itel 2175 Pro 4 MB RAM, Blue, Mobile Phone","₹1,119.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/itel/494422842/0/HXpNQYWv6E-0HlVDZpLNl-itel-2175-Pro-494422842-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/itel-2175-pro-4-mb-ram-blue-mobile-phone-m2kbra-8685410?internal_source=search_collection,N/A,N/A
"JioBharat A1 Karbonn 4G Keypad Phone with Safety Shield Feature, JioTV, JioHotstar, JioSaavn, JioPay (UPI & SoundPay), LED Torch, Digital Camera, 2000 mAh Battery, Black & Red, Locked for JioNetwork","₹1,299.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/karbonn/581107394/0/s8fGcl3H8M-DYESs_UGV-JioBharatA1Karbonn4GKeypadPhone-581107394-i-1.jpg,https://www.reliancedigital.in/product/jiobharat-a1-karbonn-4g-keypad-phone-with-safety-shield-feature-jiotv-jiohotstar-jiosaavn-jiopay-upi-soundpay-led-torch-digital-camera-2000-mah-battery-black-red-locked-for-jionetwork-mjr2fo-9704025?internal_source=search_collection,N/A,N/A
"Itel A44 Pro Smart Phone 16 GB, 2 GB RAM, Midnight Black","₹5,999.00",https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/products/pictures/item/free/original/itel/491419890/0/nRSPWcnFko-qIxxHraXnP-Itel-A44-Pro-Smart-Phones-491419890-i-1-1200Wx1200H.jpeg,https://www.reliancedigital.in/product/itel-a44-pro-smart-phone-16-gb-2-gb-ram-midnight-black-lcpcrv?internal_source=search_collection,N/A,N/A
